,background,params,distance
288,4_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 0.4}",82746.37750753133
279,4_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 0.4}",82391.79198572514
282,4_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 0.4}",82391.79198572514
285,4_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 0.4}",82391.79198572514
303,4_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 0.4}",82390.12946225135
297,4_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 0.4}",82390.12946225135
300,4_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 0.4}",82390.12946225135
312,4_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 0.4}",79683.27727917621
309,4_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 0.4}",79683.27727917621
306,4_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 0.4}",79683.27727917621
322,4_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.1}",79362.5951719094
319,4_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.1}",79362.5951719094
316,4_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.1}",79362.5951719094
315,4_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 0.4}",78471.59613267602
321,4_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 0.4}",78471.59613267602
318,4_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 0.4}",78471.59613267602
310,4_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.1}",67022.97763812271
307,4_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.1}",67022.97763812271
313,4_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.1}",67022.97763812271
247,4_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.1}",64065.9642270654
250,4_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.1}",64065.9642270654
244,4_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.1}",64065.9642270654
304,4_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.1}",57466.75557678384
301,4_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.1}",57466.75557678384
298,4_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.1}",57466.75557678384
289,4_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.1}",53061.535965447445
292,4_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.1}",53061.535965447445
295,4_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.1}",53061.535965447445
