,background,params,distance
402,video5_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 0.4}",58883.049750371676
399,video5_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 0.4}",58883.049750371676
327,video5_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 0.4}",60947.38316972157
324,video5_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 0.4}",60947.38316972157
330,video5_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 0.4}",60947.38316972157
360,video5_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 0.4}",61444.82250036482
366,video5_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 0.4}",61444.82250036482
363,video5_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 0.4}",61444.82250036482
371,video5_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.7}",63851.68856106794
374,video5_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.7}",63851.68856106794
377,video5_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.7}",63851.68856106794
332,video5_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.7}",64277.841384268766
326,video5_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.7}",64277.841384268766
329,video5_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.7}",64277.841384268766
354,video5_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 0.4}",66554.26370377062
351,video5_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 0.4}",66554.26370377062
357,video5_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 0.4}",66554.26370377062
389,video5_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.7}",67107.04610621904
392,video5_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.7}",67107.04610621904
395,video5_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.7}",67107.04610621904
333,video5_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 0.4}",67153.9805441777
339,video5_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 0.4}",67153.9805441777
336,video5_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 0.4}",67153.9805441777
345,video5_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 0.4}",67905.64004323736
348,video5_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 0.4}",67905.64004323736
342,video5_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 0.4}",67905.64004323736
337,video5_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.1}",68362.85734198005
334,video5_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.1}",68362.85734198005
340,video5_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.1}",68362.85734198005
380,video5_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.7}",70526.27427848501
383,video5_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.7}",70526.27427848501
386,video5_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.7}",70526.27427848501
355,video5_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.1}",72448.16132036159
358,video5_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.1}",72448.16132036159
352,video5_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.1}",72448.16132036159
343,video5_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.1}",76175.63743424871
349,video5_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.1}",76175.63743424871
346,video5_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.1}",76175.63743424871
353,video5_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.7}",76752.31241671584
359,video5_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.7}",76752.31241671584
356,video5_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.7}",76752.31241671584
335,video5_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.7}",77346.87778144825
338,video5_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.7}",77346.87778144825
341,video5_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.7}",77346.87778144825
347,video5_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.7}",83675.99107387663
350,video5_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.7}",83675.99107387663
344,video5_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.7}",83675.99107387663
