,episode_0_reward,episode_0_train
217,7.975669673233581,-1
218,7.970388739797894,-1
219,7.960913648479715,1
220,7.939720976606055,1
221,7.9154610156435234,1
222,7.76604874997221,1
223,7.808718348618237,1
224,7.916684748188637,-1
225,7.940515477935589,-1
226,7.947481712565379,-1
227,7.933660459282924,-1
228,7.915064073566818,-1
229,7.814394136828079,1
230,7.80577856613909,1
231,7.904429216311426,1
232,7.899701330309493,1
233,7.861570122337922,1
234,7.870973410164562,-1
235,7.862923651213125,-1
236,7.907074439295319,-1
237,7.9033158942568384,-1
238,7.908249041762834,-1
239,7.8970892722806205,1
240,7.882713424650078,1
241,7.866617710527996,1
242,7.833381710312889,1
243,7.845642446245958,1
244,7.888044183125218,-1
245,7.9217068757178115,-1
246,7.942591045859058,-1
247,7.953687053318356,-1
248,7.929049599325945,-1
249,7.926512138351576,1
250,7.940303973933244,1
251,7.9368040093054,1
252,7.932324679411642,1
253,7.927900820013935,1
254,7.912151722983613,-1
255,7.945707553435404,-1
256,7.961667508240637,-1
257,7.965506401762707,-1
258,7.976905881928492,-1
259,7.941847759217715,1
260,7.916883137839192,1
261,7.95182605908945,1
262,7.941854141283752,1
263,7.937358138834613,1
264,7.932721166441607,-1
265,7.963625291236118,-1
266,7.969863491463505,-1
267,7.9750539212180165,-1
268,7.960162114509044,-1
269,7.9296654679205965,1
270,7.903831670179323,1
271,7.89306501386727,1
272,7.734457676664361,1
273,7.822098955647918,1
274,7.919211402186487,-1
275,7.9161789989324705,-1
276,7.936407078983861,-1
277,7.929216722292357,-1
278,7.922987889268901,-1
279,7.937371012366212,1
280,7.882944005449032,1
281,7.9175864153888025,1
282,7.8863512222061996,1
283,7.860433792870317,1
284,7.930592072134667,-1
285,7.933907563140944,-1
286,7.948453358567523,-1
287,7.945610338484076,-1
288,7.92914871099665,-1
289,7.893369303017252,1
290,7.893446031515428,1
291,7.855863640055451,1
292,7.802286364560651,1
293,7.86214193270708,1
294,7.900827630572168,-1
295,7.925748621109401,-1
296,7.939924381859431,-1
297,7.933257148451467,-1
298,7.907511056617099,-1
299,7.870827637370349,1
300,7.888766103488507,1
301,7.876856033037511,1
302,7.79412347004241,1
303,7.848120149214009,1
304,7.871743012079648,-1
305,7.891847549327046,-1
306,7.922194053305301,-1
307,7.928143619186049,-1
308,7.901382976268964,-1
309,7.935697895730245,1
310,7.92392602296679,1
311,7.9001414326251185,1
312,7.846096157685285,1
313,7.874175490529777,1
314,7.9184793046713775,-1
315,7.937471723718178,-1
316,7.948155759213824,-1
317,7.957878766171688,-1
318,7.917940294990634,-1
319,7.894860417391369,1
320,7.907543120999195,1
321,7.884175059782887,1
322,7.808110522226465,1
323,7.865032028921499,1
324,7.8773607161063355,-1
325,7.919186892725247,-1
326,7.940091491509409,-1
327,7.9517968905722265,-1
328,7.891625170800049,-1
329,7.9174617435908985,1
330,7.91506992804173,1
331,7.916348085760211,1
332,7.881258389098001,1
333,7.883220630339973,1
334,7.915899080506421,-1
335,7.9289282597564625,-1
336,7.949570784828588,-1
