,episode_0_reward,episode_1_reward,episode_0_train,episode_1_train
46,7.96794746880167,7.895616597175622,1,1
47,7.958291449632755,7.8912053321904025,1,1
48,7.953016416341968,7.885286521558656,1,1
49,7.945489583023369,7.886580378783477,1,1
50,7.972078677237153,7.884110717144706,1,1
51,7.933101172056737,7.881819435967036,1,1
52,7.940615515448509,7.876322085376294,1,1
53,7.975375756602445,7.868146593372643,1,1
54,7.973231715329907,7.866932796956848,1,1
55,7.957057897469347,7.859945851671896,1,1
56,7.931434132391142,7.854615816006074,1,1
57,7.890873852762226,7.853780559017533,1,1
58,7.850811069389779,7.851387974334605,1,1
59,7.828985381368624,7.848370350817882,1,1
60,7.880269162335052,7.849700034403929,1,1
61,7.891508894414656,7.844688352309915,1,1
62,7.89504948035494,7.8449225155026365,1,1
63,7.900267047089682,7.84973294741813,1,1
64,7.900035879596498,7.848773268953415,1,1
65,7.8446892428123585,7.852792872147971,1,1
66,7.912874431084218,7.863504081593428,1,1
67,7.942958535495654,7.87095648420122,1,1
68,7.975004863428201,7.876283295621312,1,1
69,7.982559521366248,7.8803636106553,1,1
70,7.985010061006868,7.8726616111061745,1,1
71,7.959468850498159,7.884819254966312,1,1
72,7.974365718817768,7.87972022714359,1,1
73,7.994616109648429,7.876631498273191,1,1
74,7.988066688780135,7.871031192665672,1,1
75,7.9755070227909695,7.8647649052545905,1,1
76,7.950166573076847,7.861533102067343,1,1
77,7.968032574296457,7.859790931356491,1,1
78,7.96310422876667,7.853803432116246,1,1
79,7.9587088298813695,7.85036619654042,1,1
80,7.971385210907371,7.845476233996412,1,1
81,7.984504281800392,7.839334045666205,1,1
82,7.986923645736397,7.842126669608431,1,1
83,7.984089180470259,7.839636364988312,1,1
84,7.9763718359871945,7.839566082187488,1,1
85,7.947549997959906,7.849509151825796,1,1
86,7.954097548976344,7.849668040927813,1,1
87,7.957370030586709,7.87189879628483,1,1
88,7.965005483180907,7.883050395828992,1,1
89,7.961367444114876,7.896536914586547,1,1
90,7.967833339226942,7.902012107062752,1,1
91,7.961170776606669,7.912138510157799,1,1
92,7.934680742052293,7.915304160250126,1,1
93,7.958983031980309,7.913921301138657,1,1
94,7.965699688216339,7.918237362178671,1,1
95,7.975711080848417,7.9097590593885965,1,1
96,7.98232460196626,7.909437907815648,1,1
97,7.969493608943729,7.89988906537169,1,1
98,7.9589596373345115,7.892018182744627,1,1
99,7.962635193510376,7.874084805020283,1,1
100,7.978735260856732,7.8494138775000755,1,1
101,7.985723940320461,7.861244167830657,1,1
102,7.981555415038582,7.848200637220197,1,1
103,7.974657104952394,7.840259195669466,1,1
104,7.956911934905174,7.8537730954636515,1,1
105,7.966252916319368,7.8604766704813205,1,1
106,7.959786211909894,7.869330062125182,1,1
107,7.952756498952107,7.879899989413069,1,1
108,7.9369451738905825,7.895856115332682,1,1
109,7.924810088894672,7.8954268945833626,1,1
110,7.928446928431949,7.914647285383383,1,1
111,7.870718264264256,7.923585526109831,1,1
112,7.92596879567923,7.924744301756107,1,1
113,7.953818607595803,7.9455867041072885,1,1
114,7.962752954179443,7.917421621664003,1,1
115,7.972052867266845,7.91905896964804,1,1
116,7.99147875869518,7.930981109828088,1,1
117,7.982559539478903,7.922300691419465,1,1
118,7.958071807245683,7.913087959779699,1,1
119,7.937804116073483,7.888250509960672,1,1
120,7.945265886883977,7.867850245994841,1,1
121,7.970443917153256,7.849104371251948,1,1
122,7.970869117796817,7.818981568502098,1,1
123,7.980832484137735,7.762521643500579,1,1
124,7.983237792765305,7.797319444361551,1,1
125,7.994237372764334,7.781813935569323,1,1
126,7.996093626602226,7.78152986142301,1,1
127,7.978798964439674,7.801385668251313,1,1
128,7.988705574682281,7.815209533114744,1,1
129,7.992991744870077,7.851136574232499,1,1
130,7.979163408825755,7.878405034758675,1,1
131,7.9853429954353174,7.903104376187692,1,1
132,7.992661116988633,7.919137276262625,1,1
133,7.977868220623321,7.904222044822862,1,1
134,7.975385127292888,7.941194181553213,1,1
135,7.983562445591598,7.91806575299933,1,1
136,7.989994947345208,7.93590844931799,1,1
137,7.990493380536751,7.946376689011315,1,1
138,7.98461236059197,7.944872991548983,1,1
139,7.982051863379133,7.934055786018801,1,1
140,7.973741818337999,7.925092636577256,1,1
141,7.958798359886252,7.914765147014261,1,1
142,7.93702625680197,7.920393224518006,1,1
143,7.926834284258195,7.913316397904036,1,1
144,7.912123182467772,7.8928202634194005,1,1
145,7.891362085293066,7.914378428207131,1,1
146,7.936964106356314,7.92426268758926,1,1
147,7.928941328500755,7.931197959192253,1,1
148,7.9313346435712955,7.936112804585544,1,1
149,7.9520539096628395,7.942764511157551,1,1
150,7.969899342582179,7.944982853319981,1,1
151,7.979303064463042,7.953007670706219,1,1
152,7.987636092290722,7.958741407754375,1,1
153,7.9853801021012,7.961324822631525,1,1
154,7.958998001868072,7.964701728423924,1,1
155,7.942798846638005,7.972554202883133,1,1
156,7.967868777367918,7.971429163267785,1,1
157,7.965573630719783,7.977728905797816,1,1
158,7.973085681152153,7.978348450878763,1,1
159,7.970656991193534,7.962258607923983,1,1
