,episode_0_reward,episode_0_color_easy
184,7.953327082427078,-1
185,7.978119397858456,-1
186,7.977515916167581,-1
187,7.97613558028785,-1
188,7.939209870409253,-1
189,7.95892479496321,1
190,7.966849290015386,1
191,7.969155573760432,1
192,7.979517871073299,1
193,7.95596703608075,1
194,7.993834964000218,-1
195,7.987189522373171,-1
196,7.982966598714884,-1
197,7.98814995471725,-1
198,7.937609421532365,-1
199,7.967240892879752,1
200,7.941487879437946,1
201,7.959941597378226,1
202,7.878986782909218,1
203,7.954281610671583,1
204,7.9720727825335755,-1
205,7.9843591627507156,-1
206,7.953987997653283,-1
207,7.959255270375717,-1
208,7.931779664837803,-1
209,7.9564799250817195,1
210,7.956078505277708,1
211,7.972878684149434,1
212,7.978802443382522,1
213,7.948030054650524,1
214,7.9918129961436986,-1
215,7.99614849748057,-1
216,7.954198797800913,-1
217,7.979415690255952,-1
218,7.935538762857823,-1
219,7.947192720501695,1
220,7.952797975625863,1
221,7.948507981163073,1
222,7.839472407637626,1
223,7.912695288634147,1
224,7.920673341695038,-1
225,7.971329468782513,-1
226,7.979986274138813,-1
227,7.982133120678274,-1
228,7.994993508206317,-1
229,7.9676052793251815,1
230,7.970562957551259,1
231,7.987746067965695,1
232,7.963608236144383,1
233,7.992512883993297,1
234,7.992669196890616,-1
235,7.996034614975703,-1
236,7.997122156644465,-1
237,7.992122615064948,-1
238,7.979468503494703,-1
239,7.95911909000083,1
240,7.972323157236578,1
241,7.959995216127181,1
242,7.91071926988247,1
243,7.865458113603642,1
244,7.922699934094109,-1
245,7.9688873828078775,-1
246,7.97652296148285,-1
247,7.972466256305165,-1
248,7.992350916679964,-1
249,7.982634129233702,1
250,7.98377483845231,1
251,7.989009708050229,1
252,7.9818135771018826,1
253,7.981860812624723,1
254,7.992580003024428,-1
255,7.9946759915879575,-1
256,7.993718565762235,-1
257,7.993268206798359,-1
258,7.977739352945657,-1
259,7.979528996971316,1
260,7.949561224969428,1
261,7.946874368578955,1
262,7.908008608111087,1
263,7.863239567844114,1
264,7.906453266870834,-1
265,7.962528706728738,-1
266,7.9751378413138525,-1
267,7.980372675181544,-1
268,7.967321433288573,-1
269,7.98872508090516,1
270,7.970477576154767,1
271,7.994206090402565,1
272,7.993420422181922,1
273,7.994180028079521,1
274,7.995452475385315,-1
275,7.9940521584971815,-1
276,7.999231623609767,-1
277,7.997975199352097,-1
278,7.976505041075932,-1
279,7.963199802652906,1
280,7.926556615115023,1
281,7.912048889691168,1
282,7.847046141841698,1
283,7.883692679635249,1
284,7.919361985016385,-1
285,7.899220340402199,-1
286,7.9499289693697754,-1
287,7.958768491402805,-1
288,7.953994799678474,-1
289,7.972668446495232,1
290,7.982135428664574,1
291,7.9940845762772,1
292,7.997364265448259,1
293,7.998348894683955,1
294,7.993074664157077,-1
295,7.9969071431964105,-1
296,7.997292874282383,-1
297,7.992245008021294,-1
298,7.951036425014683,-1
299,7.938564925469523,1
300,7.93988793195813,1
301,7.924104502313788,1
302,7.866032448521147,1
303,7.832564828341425,1
304,7.902597576611539,-1
305,7.830629107502909,-1
306,7.932546551310059,-1
307,7.941858925933913,-1
308,7.972497369500155,-1
309,7.972193686554817,1
310,7.9817625828751595,1
311,7.9873681048923375,1
312,7.992738120885685,1
313,7.996536584862155,1
314,7.997539723247826,-1
315,7.99037627323012,-1
316,7.996179154550256,-1
317,7.998850503671601,-1
318,7.976838594750675,-1
319,7.947783727954058,1
320,7.952329517356543,1
321,7.938363216500717,1
322,7.886111467553402,1
323,7.887800156484671,1
324,7.907684753628727,-1
325,7.876186893610306,-1
326,7.956000580525092,-1
327,7.954948763647349,-1
328,7.987111068208756,-1
329,7.9927276220714285,1
330,7.985723773678848,1
331,7.995575717193262,1
332,7.997714244727467,1
333,7.9990780094274685,1
334,7.9951598159505854,-1
335,7.981682524774943,-1
336,7.970102560719745,-1
337,7.92341669498113,-1
338,7.918011772798991,-1
339,7.952621103462997,1
340,7.955886060136308,1
341,7.945677460623792,1
342,7.859355455530707,1
343,7.891271307104038,1
344,7.956530120096867,-1
345,7.8561378577619,-1
346,7.9441983151894515,-1
347,7.9453682789556295,-1
348,7.908339799635245,-1
349,7.978138600642421,1
350,7.9650031467002425,1
351,7.976835521912867,1
352,7.987468151801797,1
353,7.9920009404474825,1
354,7.97975311328937,-1
355,7.981424188493857,-1
356,7.949534351465784,-1
357,7.877274210544777,-1
358,7.910844396261076,-1
359,7.9366394049271864,1
360,7.970837251936326,1
361,7.977758699090636,1
362,7.981470163518339,1
363,7.958400809978296,1
364,7.977619916245818,-1
365,7.9371002418918515,-1
366,7.952251041646644,-1
367,7.966407190268118,-1
368,7.94992841743076,-1
369,7.987975595192532,1
370,7.953350487408409,1
371,7.982555615573898,1
372,7.982793694087731,1
373,7.95266711432612,1
374,7.9158794899767315,-1
375,7.950073298284651,-1
376,7.928071578411399,-1
377,7.971609003255711,-1
378,7.9177727517435645,-1
379,7.94048203035832,1
380,7.935841506990679,1
381,7.968361105111245,1
382,7.963620416715015,1
383,7.9451120236248585,1
384,7.920502086036956,-1
385,7.919770456815897,-1
386,7.928187474728526,-1
387,7.93251030942385,-1
388,7.918958557095738,-1
389,7.924718597719947,1
390,7.9232836884408835,1
391,7.965716939918469,1
392,7.966338748960878,1
393,7.987439836485568,1
394,7.923461885157775,-1
395,7.896892736046286,-1
396,7.919322249981966,-1
397,7.88118878585172,-1
398,7.959236608294763,-1
399,7.955418316275373,1
400,7.972165465488895,1
401,7.968220632701632,1
402,7.880568752784429,1
403,7.919030252936764,1
404,7.935948378135206,-1
405,7.967237655215951,-1
406,7.9621441948983005,-1
407,7.931445368322212,-1
408,7.99076634821357,-1
409,7.989042195478143,1
410,7.983768565143043,1
411,7.989390369394209,1
412,7.985854276953138,1
413,7.946399767802302,1
414,7.969049259991441,-1
415,7.975440783050781,-1
416,7.958542726841918,-1
417,7.978269983898606,-1
418,7.953159131700007,-1
419,7.949017371568165,1
420,7.971627332082407,1
421,7.973078263136003,1
422,7.9509439190946525,1
423,7.978625271100881,1
424,7.993239815384481,-1
425,7.972642430347669,-1
426,7.976194185457321,-1
427,7.963505822145023,-1
428,7.939891729003489,-1
429,7.957536600062919,1
430,7.9617188941426695,1
431,7.976228053188007,1
432,7.97131903140026,1
433,7.9263726493909585,1
434,7.923563428586563,-1
435,7.958996368050875,-1
436,7.9551778119388405,-1
437,7.95914989093151,-1
438,7.951718788141296,-1
439,7.97713575771488,1
440,7.9707692893142585,1
441,7.967555810637062,1
442,7.944196430446356,1
443,7.908587521653531,1
444,7.959058516733011,-1
445,7.983066681441924,-1
446,7.951975980770888,-1
447,7.941616730708458,-1
448,7.908562761655137,-1
449,7.9777188881657795,1
450,7.9890518556832655,1
451,7.988612515468535,1
452,7.979847123215382,1
453,7.934901918208459,1
454,7.902397981794781,-1
455,7.951393982631514,-1
456,7.9361327071831935,-1
457,7.980116734617345,-1
458,7.967846473271731,-1
459,7.949017842595939,1
460,7.953064404101641,1
461,7.977508744851064,1
462,7.971568742143863,1
463,7.965946206378271,1
464,7.968348771536844,-1
465,7.9741593728847935,-1
466,7.97957095288578,-1
467,7.987293261177879,-1
468,7.949737693246999,-1
469,7.983126086614847,1
470,7.985033580055015,1
471,7.988765050717956,1
472,7.9784771170048385,1
473,7.923292219317036,1
474,7.955807376115801,-1
475,7.97382898391799,-1
476,7.924614339069893,-1
477,7.974994809595043,-1
478,7.980715146447753,-1
479,7.964301982482277,1
480,7.966104721562651,1
481,7.969364156967453,1
482,7.936219853267144,1
483,7.938265826206874,1
484,7.977971980123884,-1
485,7.862143591511549,-1
486,7.9516421744577945,-1
487,7.889753646097971,-1
488,7.973578867143625,-1
489,7.9792982790749365,1
490,7.969323074511158,1
491,7.978361623272873,1
492,7.958064032339926,1
493,7.906818549085557,1
494,7.96584300777175,-1
495,7.96784961106322,-1
496,7.961887334325322,-1
497,7.982387496275196,-1
498,7.991574564524383,-1
499,7.96454827238072,1
500,7.963715663202159,1
501,7.966398762236788,1
502,7.962208183104299,1
503,7.9554622677461975,1
504,7.886618017619197,-1
505,7.8898066333791705,-1
506,7.939317766054029,-1
507,7.887791544310134,-1
508,7.991859250352245,-1
509,7.981417645438232,1
510,7.954323759305718,1
511,7.97825401422457,1
512,7.972266318384643,1
513,7.930118038279677,1
514,7.979032494022783,-1
515,7.986171174161544,-1
516,7.9819637028096775,-1
517,7.939133954095076,-1
518,7.9634460708259445,-1
519,7.9803900012382325,1
520,7.968345556449441,1
521,7.977985098010215,1
522,7.952674836474531,1
523,7.926822905519753,1
524,7.954026059911292,-1
525,7.978503895603799,-1
526,7.976035024723206,-1
527,7.9660134849914295,-1
528,7.940070028346037,-1
529,7.980795913142248,1
530,7.965519586708723,1
531,7.982262088022356,1
532,7.976581762818168,1
533,7.944047814859785,1
534,7.94514188370019,-1
535,7.984641358723331,-1
536,7.982049123803178,-1
537,7.934253201421,-1
538,7.962467665793164,-1
539,7.976293726064514,1
540,7.974841591913088,1
541,7.9682457093243855,1
542,7.87713429322846,1
543,7.913449064434326,1
544,7.981871988185498,-1
545,7.932899819832197,-1
546,7.960701997424723,-1
547,7.879831103900743,-1
548,7.943703114809751,-1
549,7.978091532500232,1
550,7.9609429771682265,1
551,7.9757488459573125,1
552,7.945523226418251,1
553,7.923482678625156,1
554,7.950628892271143,-1
