,episode_0_reward,episode_0_train
184,7.950411182452458,-1
185,7.985244722014271,-1
186,7.985765435847766,-1
187,7.956497994486297,-1
188,7.983902952660265,-1
189,7.940053323993404,1
190,7.922308098606883,1
191,7.933430366825793,1
192,7.87361714604295,1
193,7.904208472194918,1
194,7.899627445168422,-1
195,7.935273313696392,-1
196,7.965529300003595,-1
197,7.962086250122287,-1
198,7.987107750446755,-1
199,7.993101046125307,1
200,7.962846486655087,1
201,7.950408772141303,1
202,7.9906098696837065,1
203,7.983501912449873,1
204,7.95933498939819,-1
205,7.9802272565576065,-1
206,7.964616255508111,-1
207,7.935229873440858,-1
208,7.8860939733249635,-1
209,7.907136201657978,1
210,7.953416630640014,1
211,7.9484657906359235,1
212,7.927226963226027,1
213,7.863685626189597,1
214,7.90823538332226,-1
215,7.94017102843255,-1
216,7.957699939754963,-1
217,7.972356445745352,-1
218,7.9737073423729345,-1
219,7.985392850426257,1
220,7.966318142330269,1
221,7.993549776778458,1
222,7.957716365143596,1
223,7.993695870649907,1
224,7.988260992411903,-1
225,7.982280382081224,-1
226,7.974531161600208,-1
227,7.956570607039794,-1
228,7.922948500912596,-1
229,7.943551562035075,1
230,7.935274407387401,1
231,7.928197438006386,1
232,7.874317133049985,1
233,7.890751493601242,1
234,7.887533639682058,-1
235,7.881798592222896,-1
236,7.869118590529116,-1
237,7.939789924550974,-1
238,7.919310077114282,-1
239,7.928637119821046,1
240,7.977137041892612,1
241,7.973766689593361,1
242,7.970572462485194,1
243,7.964825250432473,1
244,7.89739720524878,-1
245,7.973359016876709,-1
246,7.943410624141818,-1
247,7.982630773631503,-1
248,7.99782313990638,-1
249,7.976896808946987,1
250,7.97239209878544,1
251,7.972691645379906,1
252,7.961520000281755,1
253,7.926325833418103,1
254,7.873602204391082,-1
255,7.927218613897372,-1
256,7.943807132682385,-1
257,7.9110525321156535,-1
258,7.922561723787243,-1
259,7.914663242500771,1
260,7.909359239931155,1
261,7.960150932310819,1
262,7.969462486781126,1
263,7.959277409997078,1
264,7.979873412741581,-1
265,7.978467804030089,-1
266,7.982576441060396,-1
267,7.964300212129374,-1
268,7.9753252391720055,-1
269,7.960026390397312,1
270,7.951977448872999,1
271,7.9409069157358845,1
272,7.955769417291948,1
273,7.97814956814724,1
274,7.8952313055312775,-1
275,7.9333628380597725,-1
276,7.920355212710464,-1
277,7.947017536370535,-1
278,7.960429946971189,-1
279,7.938889148397525,1
280,7.921806174952263,1
281,7.95910733169743,1
282,7.899281642688855,1
283,7.973805082901123,1
284,7.9581301070147905,-1
285,7.92657057506728,-1
286,7.954180392013914,-1
287,7.909756932811217,-1
288,7.9627331934674705,-1
289,7.975879092652606,1
290,7.981845745845283,1
291,7.979589051149898,1
292,7.9523431545494,1
293,7.980350851491361,1
294,7.915311817268383,-1
295,7.926893365335963,-1
296,7.922690634512399,-1
297,7.907017774068195,-1
298,7.966254399427426,-1
299,7.971432910240593,1
300,7.94680579734956,1
301,7.955228801534268,1
302,7.939652842939334,1
303,7.964335019552372,1
304,7.925594303814542,-1
305,7.969795020127514,-1
306,7.966703022039793,-1
307,7.952989116842385,-1
